550,38.88,1,"Konradstraße 15, Ismaning, München (Kreis)"
1750,73,3,"Am Sportpark 25, Kirchheim bei München, München (Kreis)"
1488,72,3,"Ludwig - Moser - Str. 11, Haar, München (Kreis)"
1200,71,2,"Alleestraße 51, Unterschleißheim, München (Kreis)"
1100,93,2.5,"Bruckmannring 16, Oberschleißheim, München (Kreis)"
1500,125,3,"Grasbrunn, München (Kreis)"
1518,72,3,"Ludwig - Moser - Straße 11, Haar, München (Kreis)"
760,58,2,"Sauerlach, München (Kreis)"
1150,90,3,"Aschheim, München (Kreis)"
650,49,2,"Germeringerstrasse 24, Planegg, München (Kreis)"
1450,96,3,"Planegg, München (Kreis)"
800,40,2,"Kirchheim bei München, München (Kreis)"
950,54,2,"Rosenheimer Straße 19, Höhenkirchen-Siegertsbrunn, München (Kreis)"
1220,64,2,"Am Mühlbach 1 D, Garching bei München, München (Kreis)"
1250,130,4.5,"Sauerlach, München (Kreis)"
1000,60,2,"Fischhaberweg. 5, Oberhaching, München (Kreis)"
1042,87,3.5,"Josef-Wiesberger-Str. 14, Haar, München (Kreis)"
1340,77,3,"Michael-Haslbeck-Straße 7b, Putzbrunn, München (Kreis)"
900,32,1,"Georg Elser Straße 1, Unterschleißheim, München (Kreis)"
1050,55,2,"Siriusstraße 8, Unterschleißheim, München (Kreis)"
1400,67,2,"Unterschleißheim, München (Kreis)"
1490,99,3,"Haar, München (Kreis)"
1100,80,3,"Oberschleißheim, München (Kreis)"
1400,82.8,2,"Planegg, München (Kreis)"
535,36.9,1,"Unterschleißheim, München (Kreis)"
1040,83,3,"Feldkirchen, München (Kreis)"
1145,95,4,"Dittmannstr. 10, Haar, München (Kreis)"
1975,116,4,"Unterschleißheim, München (Kreis)"
1650,97.29,3,"Unterschleißheim, München (Kreis)"
800,63,3,"Schönswetterstr. 0, Neubiberg, München (Kreis)"
1200,89,3.5,"Münchener Straße 3, Sauerlach, München (Kreis)"
1400,87.47,3,"Rosa-Bauer-Weg 12, Unterhaching, München (Kreis)"
1280,90,3,"Münchener Straße 3, Sauerlach, München (Kreis)"
1590,63,2,"Gartenstraße 4a, Unterhaching, München (Kreis)"
940,68,2,"Johann-Strauß-Str. 4, Unterhaching, München (Kreis)"
1100,77.85,3,"Taufkirchen, München (Kreis)"
1150,120,3,"Ismaning, München (Kreis)"
1300,79,3,"Röntgenstraße 21, Planegg, München (Kreis)"
1320,85,3,"Grünwald, München (Kreis)"
1180,82,2,"Planegg, München (Kreis)"
320,12,1,"Unterföhring, München (Kreis)"
1220,86,3,"Bahnhofstr. 18, Planegg, München (Kreis)"
1650,165,4,"Pframmerner Weg 1, Grasbrunn, München (Kreis)"
1300,77,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)"
2480,158,6,"Haar, München (Kreis)"
485,35,1,"Garching bei München, München (Kreis)"
1900,103,3.5,"Grünwald, München (Kreis)"
1290,102.75,4,"Taufkirchen, München (Kreis)"
1100,77,3,"Rudolfstr. 1, Planegg, München (Kreis)"
1055,74.54,3,"Taufkirchen, München (Kreis)"
1279,95,3,"Planegg, München (Kreis)"
1300,73,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)"
1300,73,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)"
1300,73,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)"
1599.39,74.53,2.5,"Mühlfeldweg 20, Garching bei München, München (Kreis)"
1300,73,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)"
2016.03,118.59,4,"Mühlfeldweg 20, Garching bei München, München (Kreis)"
1490,126,5,"Unterschleißheim, München (Kreis)"
680,46,1,"Geroldstrasse 23, Ismaning, München (Kreis)"
1370,92,3,"Lerchenstraße 71a, Höhenkirchen-Siegertsbrunn, München (Kreis)"
1500,75,3,"Ottobrunn, München (Kreis)"
1350,100,3,"Lena-Christ-Str. 6, Planegg, München (Kreis)"
1049,59,2,"Alexander-Pachmann-Straße 4h, Unterschleißheim, München (Kreis)"
780,59,2,"Haar, München (Kreis)"
990,88,4,"Ludwig-Thoma-Str. 85, Haar, München (Kreis)"
880,84,3,"Aschheim, München (Kreis)"
990,74,3,"Neubiberg, München (Kreis)"
545,32,1,"Unterföhring, München (Kreis)"
730,60,2,"Beethovenstraße 2, Ottobrunn, München (Kreis)"
870,68,2.5,"Sauerlach, München (Kreis)"
760,44,2,"Winklerring 65, Grasbrunn, München (Kreis)"
1390,94,3,"Furtweg 55, Unterschleißheim, München (Kreis)"
770,63,2,"Winklerring 22, Grasbrunn, München (Kreis)"
520,27,1,"Schlehenring 107, Kirchheim bei München, München (Kreis)"
1200,83.05,2,"Ottobrunn, München (Kreis)"
520,34,1,"Aschheim, München (Kreis)"
985,79,2.5,"Unterbiberger Str. 13a, Neubiberg, München (Kreis)"
640,41,1,"Am Hang 0, Ismaning, München (Kreis)"
