814200,88.98,2.0,"Gräfelfinger Str. 63, Hadern, München",9150.37,Hadern,48.118064,11.4818417,1
899000,128.13,4.0,"Fasanenstraße 22, Vaterstetten, Ebersberg (Kreis)",7016.31,Vaterstetten,48.1040927,11.7643646,1
849000,121.39,3.0,"Fasanenstraße 22, Vaterstetten, Ebersberg (Kreis)",6993.99,Vaterstetten,48.1040927,11.7643646,1
509900,79.71,3.0,"Birkenweg 1, Vaterstetten, Ebersberg (Kreis)",6396.94,Vaterstetten,48.1040927,11.7643646,1
652900,100.02,4.0,"Birkenweg 1, Vaterstetten, Ebersberg (Kreis)",6527.69,Vaterstetten,48.1040927,11.7643646,1
478900,61.61,2.0,"Paul-Gerhardt-Allee 1, Obermenzing, München",7773.09,Obermenzing,48.16257,11.4693724,1
595900,81.1,3.0,"Paul-Gerhardt-Allee 1, Obermenzing, München",7347.72,Obermenzing,48.16257,11.4693724,1
699900,105.22,4.0,"Peter-Anders-Straße / Berduxstraße -, Obermenzing, München",6651.78,Obermenzing,48.16257,11.4693724,1
619900,86.67,3.0,"Peter-Anders-Straße / Berduxstraße -, Obermenzing, München",7152.42,Obermenzing,48.16257,11.4693724,1
579900,84.98,3.0,"Baumbachstraße 5, Obermenzing, München",6823.96,Obermenzing,48.16257,11.4693724,1
589900,77.42,3.0,"Baumbachstraße 5, Obermenzing, München",7619.48,Obermenzing,48.16257,11.4693724,1
999000,99.58,3.0,"Voglerstraße ., Pasing, München",10032.13,Pasing,48.1477854,11.4607008,1
799000,77.55,2.0,"Voglerstraße ., Pasing, München",10303.03,Pasing,48.1477854,11.4607008,1
436900,55.51,2.0,"Oertelplatz 1, Allach, München",7870.65,Allach,48.1959936,11.4570128,1
659900,96.62,4.0,"Oertelplatz 1, Allach, München",6829.85,Allach,48.1959936,11.4570128,1
532000,79.94,3.0,"Papinstraße 51, Aubing, München",6654.99,Aubing,48.1584371,11.4140662,1
502000,72.87,3.0,"Papinstraße 51, Aubing, München",6888.98,Aubing,48.1584371,11.4140662,1
369000,71.0,3.0,"Aubing, München",5197.18,Aubing,48.1584371,11.4140662,0
489900,75.14,3.0,"Gerberau -, Allach, München",6519.83,Allach,48.1959936,11.4570128,1
379900,59.57,2.0,"Gerberau -, Allach, München",6377.37,Allach,48.1959936,11.4570128,1
505000,81.66,3.0,"Gerberau 1, Allach, München",6184.18,Allach,48.1959936,11.4570128,1
499000,81.66,3.0,"Gerberau 1, Allach, München",6110.70,Allach,48.1959936,11.4570128,1
395000,56.57,2.0,"Gerberau 1, Allach, München",6982.50,Allach,48.1959936,11.4570128,1
644900,92.34,4.0,"Gustl-Bayrhammer-Strasse 21, Aubing, München",6983.97,Aubing,48.1584371,11.4140662,1
578900,79.31,3.0,"Gustl-Bayrhammer-Strasse 21, Aubing, München",7299.21,Aubing,48.1584371,11.4140662,1
486900,63.03,2.0,"Gustl-Bayrhammer-Strasse 21, Aubing, München",7724.89,Aubing,48.1584371,11.4140662,1
950000,101.0,4.0,"Karlsfeld, Dachau (Kreis)",9405.94,Karlsfeld,48.2112619,11.4595228,0
376900,54.64,2.0,"Landsbergerstr. 1, Germering, Fürstenfeldbruck (Kreis)",6897.88,Germering,48.1231904,11.4014269,1
611900,81.3,3.0,"Landsbergerstr. 1, Germering, Fürstenfeldbruck (Kreis)",7526.45,Germering,48.1231904,11.4014269,1
765000,115.77,4.0,"Hochäckerstraße 89, Perlach, München",6607.93,Perlach,48.1000997,11.6306502,1
590000,89.53,4.0,"Hochäckerstraße 89, Perlach, München",6589.97,Perlach,48.1000997,11.6306502,1
629900,90.44,4.0,"Hochäckerstr. 106, Perlach, München",6964.84,Perlach,48.1000997,11.6306502,0
719999,123.0,4.0,"Hofangerstraße -, Perlach, München",5853.65,Perlach,48.1000997,11.6306502,0
479980,93.0,3.0,"Perlach, München",5161.08,Perlach,48.1000997,11.6306502,0
139000,20.35,1.0,"Ramersdorf, München",6830.47,Ramersdorf,48.1152635,11.6143889,0
599900,79.0,3.0,"Obergiesing, München",7593.67,Obergiesing,48.1111557,11.5889093,0
310000,45.0,2.0,"Bayerwaldstr. 6, Perlach, München",6888.89,Perlach,48.1000997,11.6306502,0
207000,44.02,1.0,"Gerhart-Hauptmann-Ring 9, Perlach, München",4702.41,Perlach,48.1000997,11.6306502,0
520000,57.0,2.0,"Ramersdorf, München",9122.81,Ramersdorf,48.1152635,11.6143889,0
467000,64.0,2.0,"Berg am Laim, München",7296.88,Berg am Laim,48.1249694,11.6308976,0
295000,60.0,2.0,"Kafkastraße 18, Perlach, München",4916.67,Perlach,48.1000997,11.6306502,0
249000,53.0,2.0,"Perlach, München",4698.11,Perlach,48.1000997,11.6306502,0
435000,50.0,2.0,"Haidhausen, München",8700.00,Haidhausen,48.13155825,11.5908416954,0
585000,74.0,2.0,"Trudering, München",7905.41,Trudering,48.1231749,11.6640782,0
199500,38.0,1.0,"Untergiesing, München",5250.00,Untergiesing,48.1149632,11.5701894,0
575000,86.0,3.0,"Obergiesing, München",6686.05,Obergiesing,48.1111557,11.5889093,0
2267900,112.02,2.0,"Am Neudeck 10, Au, München",20245.49,Au,48.15776925,11.41369855,1
1579900,78.44,2.0,"Am Neudeck 10, Au, München",20141.51,Au,48.15776925,11.41369855,1
770900,59.42,2.0,"Am Neudeck 10, Au, München",12973.75,Au,48.15776925,11.41369855,1
751900,53.84,1.5,"Am Neudeck 10, Au, München",13965.45,Au,48.15776925,11.41369855,1
295900,21.21,1.0,"Am Neudeck 10, Au, München",13950.97,Au,48.15776925,11.41369855,1
452900,30.46,1.0,"Am Neudeck 10, Au, München",14868.68,Au,48.15776925,11.41369855,1
799900,84.26,3.0,"Vogelweidestr. 2, Bogenhausen, München",9493.24,Bogenhausen,48.1547823,11.6334838,0
3100000,178.49,4.0,"Au, München",17367.92,Au,48.15776925,11.41369855,1
474000,35.62,1.0,"Au, München",13307.13,Au,48.15776925,11.41369855,1
499000,75.0,2.0,"Gartenstadtstraße 30, Trudering, München",6653.33,Trudering,48.1231749,11.6640782,1
499000,75.0,2.0,"Gartenstadtstraße 30, Trudering, München",6653.33,Trudering,48.1231749,11.6640782,1
1195000,90.0,2.0,"Langerstraße 2, Haidhausen, München",13277.78,Haidhausen,48.13155825,11.5908416954,0
1295000,161.0,6.0,"Untergiesing, München",8043.48,Untergiesing,48.1149632,11.5701894,0
967000,83.0,2.5,"Haidhausen, München",11650.60,Haidhausen,48.13155825,11.5908416954,0
3426600,216.0,7.0,"Kopernikusstraße 6, Bogenhausen, München",15863.89,Bogenhausen,48.1547823,11.6334838,0
1298000,97.28,3.0,"Haidhausen, München",13342.93,Haidhausen,48.13155825,11.5908416954,1
1398000,105.74,3.0,"Haidhausen, München",13221.11,Haidhausen,48.13155825,11.5908416954,1
1650000,124.0,5.0,"Lehel, München",13306.45,Lehel,48.1387124,11.5887948,0
349000,53.0,2.0,"Unterhaching, München (Kreis)",6584.91,Unterhaching,48.0662249,11.6102245,0
935000,127.88,4.0,"Unterhaching, München (Kreis)",7311.54,Unterhaching,48.0662249,11.6102245,0
4950000,292.0,7.0,"Ludwigsvorstadt-Isarvorstadt, München",16952.05,Ludwigsvorstadt-Isarvorstadt,48.1317712,11.5558087,0
